"date","station","land_use","method","lengths"
"2012-10-22","AT-Neu","Grasslands","Ford and Labosier",35
"2002-04-23","AT-Neu","Grasslands","Pendergrass et al.",28
"2002-06-11","AT-Neu","Grasslands","Pendergrass et al.",28
"2002-12-24","AT-Neu","Grasslands","Pendergrass et al.",43
"2003-04-09","AT-Neu","Grasslands","Pendergrass et al.",28
"2004-08-26","AT-Neu","Grasslands","Pendergrass et al.",28
"2005-08-20","AT-Neu","Grasslands","Pendergrass et al.",28
"2006-08-27","AT-Neu","Grasslands","Pendergrass et al.",70
"2007-12-24","AT-Neu","Grasslands","Pendergrass et al.",29
"2008-01-29","AT-Neu","Grasslands","Pendergrass et al.",35
"2010-06-25","AT-Neu","Grasslands","Pendergrass et al.",28
"2011-10-15","AT-Neu","Grasslands","Pendergrass et al.",35
"2004-07-10","AT-Neu","Grasslands","Noguera et al.",38
"2004-11-02","AT-Neu","Grasslands","Noguera et al.",45
"2005-05-02","AT-Neu","Grasslands","Noguera et al.",31
"2007-03-17","AT-Neu","Grasslands","Noguera et al.",61
"2008-06-02","AT-Neu","Grasslands","Noguera et al.",30
"2010-06-17","AT-Neu","Grasslands","Noguera et al.",30
"2011-03-17","AT-Neu","Grasslands","Noguera et al.",31
"2011-05-10","AT-Neu","Grasslands","Noguera et al.",38
"2011-10-10","AT-Neu","Grasslands","Noguera et al.",44
"2012-04-17","AT-Neu","Grasslands","Noguera et al.",30
"2012-07-10","AT-Neu","Grasslands","Noguera et al.",105
"2003-03-12","AT-Neu","Grasslands","Christian et al.",30
"2003-04-26","AT-Neu","Grasslands","Christian et al.",35
"2003-07-30","AT-Neu","Grasslands","Christian et al.",55
"2005-02-10","AT-Neu","Grasslands","Christian et al.",40
"2005-05-21","AT-Neu","Grasslands","Christian et al.",30
"2005-11-17","AT-Neu","Grasslands","Christian et al.",35
"2006-02-15","AT-Neu","Grasslands","Christian et al.",30
"2006-03-27","AT-Neu","Grasslands","Christian et al.",70
"2006-08-04","AT-Neu","Grasslands","Christian et al.",40
"2006-11-27","AT-Neu","Grasslands","Christian et al.",35
"2007-05-31","AT-Neu","Grasslands","Christian et al.",60
"2009-10-28","AT-Neu","Grasslands","Christian et al.",60
"2010-01-16","AT-Neu","Grasslands","Christian et al.",35
"2010-05-31","AT-Neu","Grasslands","Christian et al.",65
"2010-09-23","AT-Neu","Grasslands","Christian et al.",50
"2011-10-18","AT-Neu","Grasslands","Christian et al.",30
"2012-03-26","AT-Neu","Grasslands","Christian et al.",30
"2003-04-11","AT-Neu","Grasslands","Osman et al.",40
"2004-07-19","AT-Neu","Grasslands","Osman et al.",40
"2005-05-21","AT-Neu","Grasslands","Osman et al.",45
"2006-07-05","AT-Neu","Grasslands","Osman et al.",30
"2006-12-17","AT-Neu","Grasslands","Osman et al.",60
"2007-03-27","AT-Neu","Grasslands","Osman et al.",50
"2007-07-15","AT-Neu","Grasslands","Osman et al.",20
"2007-10-03","AT-Neu","Grasslands","Osman et al.",60
"2007-12-12","AT-Neu","Grasslands","Osman et al.",75
"2008-03-11","AT-Neu","Grasslands","Osman et al.",70
"2009-05-06","AT-Neu","Grasslands","Osman et al.",30
"2010-03-07","AT-Neu","Grasslands","Osman et al.",25
"2010-06-25","AT-Neu","Grasslands","Osman et al.",25
"2011-03-12","AT-Neu","Grasslands","Osman et al.",65
"2011-08-14","AT-Neu","Grasslands","Osman et al.",35
"2011-10-23","AT-Neu","Grasslands","Osman et al.",70
"2003-07-30","AT-Neu","Grasslands","Alencar et al.",28
"2004-07-15","AT-Neu","Grasslands","Alencar et al.",42
"2005-05-07","AT-Neu","Grasslands","Alencar et al.",49
"2006-06-04","AT-Neu","Grasslands","Alencar et al.",49
"2007-03-26","AT-Neu","Grasslands","Alencar et al.",49
"2007-07-02","AT-Neu","Grasslands","Alencar et al.",35
"2009-05-07","AT-Neu","Grasslands","Alencar et al.",28
"2009-08-06","AT-Neu","Grasslands","Alencar et al.",35
"2010-06-25","AT-Neu","Grasslands","Alencar et al.",28
"2011-03-19","AT-Neu","Grasslands","Alencar et al.",42
"2003-07-05","AT-Neu","Grasslands","Mod. Ford and Labosier",30
"2004-07-24","AT-Neu","Grasslands","Mod. Ford and Labosier",30
"2005-05-26","AT-Neu","Grasslands","Mod. Ford and Labosier",40
"2006-06-30","AT-Neu","Grasslands","Mod. Ford and Labosier",35
"2006-08-29","AT-Neu","Grasslands","Mod. Ford and Labosier",35
"2007-03-27","AT-Neu","Grasslands","Mod. Ford and Labosier",40
"2007-09-18","AT-Neu","Grasslands","Mod. Ford and Labosier",40
"2008-07-19","AT-Neu","Grasslands","Mod. Ford and Labosier",25
"2008-10-02","AT-Neu","Grasslands","Mod. Ford and Labosier",25
"2009-05-11","AT-Neu","Grasslands","Mod. Ford and Labosier",35
"2011-03-17","AT-Neu","Grasslands","Mod. Ford and Labosier",35
"2011-08-14","AT-Neu","Grasslands","Mod. Ford and Labosier",30
"2012-10-17","AT-Neu","Grasslands","Mod. Ford and Labosier",30
"2003-04-09","AT-Neu","Grasslands","Multi-criteria",28
"2003-05-21","AT-Neu","Grasslands","Multi-criteria",28
"2006-06-11","AT-Neu","Grasslands","Multi-criteria",49
"2006-09-03","AT-Neu","Grasslands","Multi-criteria",28
"2009-03-19","AT-Neu","Grasslands","Multi-criteria",42
"2009-08-06","AT-Neu","Grasslands","Multi-criteria",28
"2010-06-04","AT-Neu","Grasslands","Multi-criteria",42
"2005-06-15","BE-Lon","Croplands","Mo and Lettenmeier",10
"2005-08-29","BE-Lon","Croplands","Mo and Lettenmeier",5
"2005-10-28","BE-Lon","Croplands","Mo and Lettenmeier",5
"2006-06-10","BE-Lon","Croplands","Mo and Lettenmeier",5
"2006-06-30","BE-Lon","Croplands","Mo and Lettenmeier",5
"2006-07-15","BE-Lon","Croplands","Mo and Lettenmeier",5
"2006-07-25","BE-Lon","Croplands","Mo and Lettenmeier",5
"2006-09-13","BE-Lon","Croplands","Mo and Lettenmeier",5
"2006-11-12","BE-Lon","Croplands","Mo and Lettenmeier",5
"2006-11-27","BE-Lon","Croplands","Mo and Lettenmeier",5
"2007-02-15","BE-Lon","Croplands","Mo and Lettenmeier",5
"2007-04-11","BE-Lon","Croplands","Mo and Lettenmeier",5
"2007-04-26","BE-Lon","Croplands","Mo and Lettenmeier",5
"2008-05-05","BE-Lon","Croplands","Mo and Lettenmeier",5
"2008-07-29","BE-Lon","Croplands","Mo and Lettenmeier",5
"2009-06-25","BE-Lon","Croplands","Mo and Lettenmeier",10
"2009-11-17","BE-Lon","Croplands","Mo and Lettenmeier",5
"2010-06-25","BE-Lon","Croplands","Mo and Lettenmeier",5
"2010-10-03","BE-Lon","Croplands","Mo and Lettenmeier",5
"2011-04-06","BE-Lon","Croplands","Mo and Lettenmeier",5
"2011-04-16","BE-Lon","Croplands","Mo and Lettenmeier",5
"2011-05-06","BE-Lon","Croplands","Mo and Lettenmeier",5
"2011-05-31","BE-Lon","Croplands","Mo and Lettenmeier",5
"2011-09-23","BE-Lon","Croplands","Mo and Lettenmeier",15
"2011-11-02","BE-Lon","Croplands","Mo and Lettenmeier",5
"2011-12-27","BE-Lon","Croplands","Mo and Lettenmeier",5
"2012-03-21","BE-Lon","Croplands","Mo and Lettenmeier",5
"2012-08-13","BE-Lon","Croplands","Mo and Lettenmeier",15
"2013-06-05","BE-Lon","Croplands","Mo and Lettenmeier",5
"2013-07-05","BE-Lon","Croplands","Mo and Lettenmeier",5
"2013-07-15","BE-Lon","Croplands","Mo and Lettenmeier",10
"2014-03-07","BE-Lon","Croplands","Mo and Lettenmeier",5
"2004-10-02","BE-Lon","Croplands","Ford and Labosier",40
"2005-07-10","BE-Lon","Croplands","Ford and Labosier",65
"2008-12-21","BE-Lon","Croplands","Ford and Labosier",31
"2009-07-30","BE-Lon","Croplands","Ford and Labosier",40
"2010-04-11","BE-Lon","Croplands","Ford and Labosier",40
"2010-07-20","BE-Lon","Croplands","Ford and Labosier",30
"2011-05-06","BE-Lon","Croplands","Ford and Labosier",40
"2011-10-23","BE-Lon","Croplands","Ford and Labosier",40
"2013-08-14","BE-Lon","Croplands","Ford and Labosier",35
"2014-03-27","BE-Lon","Croplands","Ford and Labosier",40
"2005-04-30","BE-Lon","Croplands","Pendergrass et al.",63
"2007-03-19","BE-Lon","Croplands","Pendergrass et al.",28
"2007-11-19","BE-Lon","Croplands","Pendergrass et al.",35
"2008-10-28","BE-Lon","Croplands","Pendergrass et al.",28
"2009-06-11","BE-Lon","Croplands","Pendergrass et al.",28
"2009-11-26","BE-Lon","Croplands","Pendergrass et al.",28
"2010-01-22","BE-Lon","Croplands","Pendergrass et al.",49
"2011-10-15","BE-Lon","Croplands","Pendergrass et al.",35
"2012-03-04","BE-Lon","Croplands","Pendergrass et al.",28
"2012-04-29","BE-Lon","Croplands","Pendergrass et al.",35
"2013-06-25","BE-Lon","Croplands","Pendergrass et al.",28
"2005-03-10","BE-Lon","Croplands","Noguera et al.",31
"2005-05-02","BE-Lon","Croplands","Noguera et al.",52
"2006-05-23","BE-Lon","Croplands","Noguera et al.",48
"2006-08-17","BE-Lon","Croplands","Noguera et al.",61
"2007-03-17","BE-Lon","Croplands","Noguera et al.",46
"2011-01-10","BE-Lon","Croplands","Noguera et al.",44
"2012-01-02","BE-Lon","Croplands","Noguera et al.",31
"2012-03-02","BE-Lon","Croplands","Noguera et al.",31
"2004-09-17","BE-Lon","Croplands","Christian et al.",30
"2005-12-02","BE-Lon","Croplands","Christian et al.",35
"2006-01-16","BE-Lon","Croplands","Christian et al.",30
"2006-04-01","BE-Lon","Croplands","Christian et al.",35
"2006-08-19","BE-Lon","Croplands","Christian et al.",45
"2007-01-21","BE-Lon","Croplands","Christian et al.",45
"2007-06-30","BE-Lon","Croplands","Christian et al.",30
"2008-02-15","BE-Lon","Croplands","Christian et al.",30
"2009-06-20","BE-Lon","Croplands","Christian et al.",70
"2009-09-08","BE-Lon","Croplands","Christian et al.",30
"2010-01-21","BE-Lon","Croplands","Christian et al.",35
"2011-04-26","BE-Lon","Croplands","Christian et al.",60
"2011-10-08","BE-Lon","Croplands","Christian et al.",35
"2011-12-12","BE-Lon","Croplands","Christian et al.",90
"2013-07-25","BE-Lon","Croplands","Christian et al.",75
"2014-03-12","BE-Lon","Croplands","Christian et al.",35
"2014-05-31","BE-Lon","Croplands","Christian et al.",30
"2014-08-14","BE-Lon","Croplands","Christian et al.",30
"2014-09-28","BE-Lon","Croplands","Christian et al.",35
"2005-02-15","BE-Lon","Croplands","Osman et al.",70
"2005-05-11","BE-Lon","Croplands","Osman et al.",55
"2005-12-22","BE-Lon","Croplands","Osman et al.",100
"2006-07-10","BE-Lon","Croplands","Osman et al.",25
"2007-03-12","BE-Lon","Croplands","Osman et al.",55
"2008-12-11","BE-Lon","Croplands","Osman et al.",36
"2009-07-30","BE-Lon","Croplands","Osman et al.",70
"2010-04-06","BE-Lon","Croplands","Osman et al.",25
"2010-06-05","BE-Lon","Croplands","Osman et al.",40
"2010-07-20","BE-Lon","Croplands","Osman et al.",25
"2011-04-06","BE-Lon","Croplands","Osman et al.",85
"2011-10-23","BE-Lon","Croplands","Osman et al.",50
"2013-07-05","BE-Lon","Croplands","Osman et al.",20
"2014-02-15","BE-Lon","Croplands","Osman et al.",80
"2005-05-21","BE-Lon","Croplands","Alencar et al.",42
"2006-06-04","BE-Lon","Croplands","Alencar et al.",56
"2006-08-27","BE-Lon","Croplands","Alencar et al.",56
"2007-03-26","BE-Lon","Croplands","Alencar et al.",42
"2009-07-16","BE-Lon","Croplands","Alencar et al.",49
"2012-07-22","BE-Lon","Croplands","Alencar et al.",49
"2004-09-22","BE-Lon","Croplands","Mod. Ford and Labosier",35
"2005-07-05","BE-Lon","Croplands","Mod. Ford and Labosier",50
"2009-07-25","BE-Lon","Croplands","Mod. Ford and Labosier",35
"2010-04-06","BE-Lon","Croplands","Mod. Ford and Labosier",30
"2010-07-15","BE-Lon","Croplands","Mod. Ford and Labosier",25
"2011-05-01","BE-Lon","Croplands","Mod. Ford and Labosier",25
"2013-08-09","BE-Lon","Croplands","Mod. Ford and Labosier",25
"2014-03-22","BE-Lon","Croplands","Mod. Ford and Labosier",30
"2006-06-11","BE-Lon","Croplands","Multi-criteria",49
"2006-09-03","BE-Lon","Croplands","Multi-criteria",28
"2009-03-19","BE-Lon","Croplands","Multi-criteria",42
"2009-08-06","BE-Lon","Croplands","Multi-criteria",28
"2010-06-04","BE-Lon","Croplands","Multi-criteria",42
"2013-07-02","BE-Lon","Croplands","Multi-criteria",35
"2014-02-12","BE-Lon","Croplands","Multi-criteria",28
"1996-01-11","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"1996-06-04","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"1997-03-07","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"1997-08-09","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"1998-03-27","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"1998-05-11","BE-Vie","Mixed forests","Mo and Lettenmeier",10
"1998-08-09","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"1999-07-10","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"1999-07-30","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"1999-09-08","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2000-05-05","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2000-06-19","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2001-05-11","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2001-05-26","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2001-06-25","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2001-07-25","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2001-08-14","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2001-08-24","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2001-10-08","BE-Vie","Mixed forests","Mo and Lettenmeier",10
"2002-01-31","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2002-04-01","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2002-05-16","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2002-06-15","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2002-08-14","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2003-03-27","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2003-04-16","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2003-07-15","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2003-08-04","BE-Vie","Mixed forests","Mo and Lettenmeier",10
"2003-09-18","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2004-09-02","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2005-03-17","BE-Vie","Mixed forests","Mo and Lettenmeier",10
"2005-05-26","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2005-06-20","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2005-07-10","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2005-08-29","BE-Vie","Mixed forests","Mo and Lettenmeier",10
"2005-10-08","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2005-10-28","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2006-05-01","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2006-06-10","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2006-06-30","BE-Vie","Mixed forests","Mo and Lettenmeier",20
"2006-07-25","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2006-09-13","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2006-10-08","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2007-04-11","BE-Vie","Mixed forests","Mo and Lettenmeier",20
"2007-05-21","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2008-05-05","BE-Vie","Mixed forests","Mo and Lettenmeier",10
"2008-08-28","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2009-06-30","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2009-08-14","BE-Vie","Mixed forests","Mo and Lettenmeier",10
"2009-09-18","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2009-11-17","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2010-03-22","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2010-04-26","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2010-05-21","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2010-06-25","BE-Vie","Mixed forests","Mo and Lettenmeier",15
"2010-10-03","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2011-02-05","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2011-03-12","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2011-03-22","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2011-04-06","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2011-04-16","BE-Vie","Mixed forests","Mo and Lettenmeier",10
"2011-05-06","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2011-06-25","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2011-08-19","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2011-09-23","BE-Vie","Mixed forests","Mo and Lettenmeier",10
"2011-10-28","BE-Vie","Mixed forests","Mo and Lettenmeier",15
"2012-03-21","BE-Vie","Mixed forests","Mo and Lettenmeier",10
"2012-05-25","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2012-08-13","BE-Vie","Mixed forests","Mo and Lettenmeier",10
"2012-09-07","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2012-10-17","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2013-04-16","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2013-06-15","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2013-07-05","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2013-07-15","BE-Vie","Mixed forests","Mo and Lettenmeier",10
"2013-12-17","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2014-03-07","BE-Vie","Mixed forests","Mo and Lettenmeier",15
"2014-03-27","BE-Vie","Mixed forests","Mo and Lettenmeier",10
"2014-05-16","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2014-07-15","BE-Vie","Mixed forests","Mo and Lettenmeier",10
"2014-09-13","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2014-09-28","BE-Vie","Mixed forests","Mo and Lettenmeier",5
"2014-11-07","BE-Vie","Mixed forests","Mo and Lettenmeier",10
"1996-12-21","BE-Vie","Mixed forests","Ford and Labosier",41
"1999-06-10","BE-Vie","Mixed forests","Ford and Labosier",40
"2001-06-30","BE-Vie","Mixed forests","Ford and Labosier",25
"2002-09-03","BE-Vie","Mixed forests","Ford and Labosier",40
"2003-06-15","BE-Vie","Mixed forests","Ford and Labosier",40
"2005-08-19","BE-Vie","Mixed forests","Ford and Labosier",40
"1998-01-22","BE-Vie","Mixed forests","Pendergrass et al.",28
"1999-08-20","BE-Vie","Mixed forests","Pendergrass et al.",28
"2003-05-21","BE-Vie","Mixed forests","Pendergrass et al.",42
"2007-03-26","BE-Vie","Mixed forests","Pendergrass et al.",42
"2009-04-23","BE-Vie","Mixed forests","Pendergrass et al.",42
"2009-11-05","BE-Vie","Mixed forests","Pendergrass et al.",28
"2011-01-15","BE-Vie","Mixed forests","Pendergrass et al.",28
"2013-02-05","BE-Vie","Mixed forests","Pendergrass et al.",28
"2013-11-26","BE-Vie","Mixed forests","Pendergrass et al.",35
"1996-12-02","BE-Vie","Mixed forests","Noguera et al.",52
"1997-07-17","BE-Vie","Mixed forests","Noguera et al.",31
"1998-01-17","BE-Vie","Mixed forests","Noguera et al.",37
"2000-05-23","BE-Vie","Mixed forests","Noguera et al.",31
"2001-04-23","BE-Vie","Mixed forests","Noguera et al.",40
"2002-11-17","BE-Vie","Mixed forests","Noguera et al.",36
"2003-06-10","BE-Vie","Mixed forests","Noguera et al.",30
"2004-05-02","BE-Vie","Mixed forests","Noguera et al.",31
"2005-05-10","BE-Vie","Mixed forests","Noguera et al.",38
"2006-06-02","BE-Vie","Mixed forests","Noguera et al.",51
"2007-03-17","BE-Vie","Mixed forests","Noguera et al.",46
"2007-09-23","BE-Vie","Mixed forests","Noguera et al.",30
"2008-04-10","BE-Vie","Mixed forests","Noguera et al.",37
"2009-05-10","BE-Vie","Mixed forests","Noguera et al.",31
"2010-06-02","BE-Vie","Mixed forests","Noguera et al.",45
"2010-11-10","BE-Vie","Mixed forests","Noguera et al.",43
"2011-08-10","BE-Vie","Mixed forests","Noguera et al.",31
"2012-01-17","BE-Vie","Mixed forests","Noguera et al.",37
"2012-08-02","BE-Vie","Mixed forests","Noguera et al.",46
"2012-11-02","BE-Vie","Mixed forests","Noguera et al.",30
"2013-06-23","BE-Vie","Mixed forests","Noguera et al.",48
"2013-11-10","BE-Vie","Mixed forests","Noguera et al.",37
"1998-04-11","BE-Vie","Mixed forests","Christian et al.",35
"1998-09-08","BE-Vie","Mixed forests","Christian et al.",35
"1999-10-08","BE-Vie","Mixed forests","Christian et al.",45
"2000-05-15","BE-Vie","Mixed forests","Christian et al.",40
"2001-01-21","BE-Vie","Mixed forests","Christian et al.",30
"2001-07-20","BE-Vie","Mixed forests","Christian et al.",40
"2003-06-10","BE-Vie","Mixed forests","Christian et al.",40
"2003-08-24","BE-Vie","Mixed forests","Christian et al.",30
"2003-12-07","BE-Vie","Mixed forests","Christian et al.",55
"2004-05-25","BE-Vie","Mixed forests","Christian et al.",50
"2004-10-02","BE-Vie","Mixed forests","Christian et al.",30
"2005-09-18","BE-Vie","Mixed forests","Christian et al.",35
"2006-01-16","BE-Vie","Mixed forests","Christian et al.",35
"2006-05-01","BE-Vie","Mixed forests","Christian et al.",45
"2006-06-30","BE-Vie","Mixed forests","Christian et al.",35
"2009-10-28","BE-Vie","Mixed forests","Christian et al.",40
"2010-05-06","BE-Vie","Mixed forests","Christian et al.",30
"2012-07-19","BE-Vie","Mixed forests","Christian et al.",30
"1996-12-21","BE-Vie","Mixed forests","Osman et al.",26
"1997-07-25","BE-Vie","Mixed forests","Osman et al.",80
"1998-05-01","BE-Vie","Mixed forests","Osman et al.",30
"1998-07-25","BE-Vie","Mixed forests","Osman et al.",30
"1999-04-21","BE-Vie","Mixed forests","Osman et al.",45
"1999-07-10","BE-Vie","Mixed forests","Osman et al.",85
"2000-01-01","BE-Vie","Mixed forests","Osman et al.",45
"2000-04-20","BE-Vie","Mixed forests","Osman et al.",30
"2000-05-30","BE-Vie","Mixed forests","Osman et al.",40
"2001-05-01","BE-Vie","Mixed forests","Osman et al.",40
"2001-06-25","BE-Vie","Mixed forests","Osman et al.",20
"2001-08-14","BE-Vie","Mixed forests","Osman et al.",20
"2002-03-27","BE-Vie","Mixed forests","Osman et al.",20
"2002-05-11","BE-Vie","Mixed forests","Osman et al.",60
"2002-09-03","BE-Vie","Mixed forests","Osman et al.",25
"2003-01-31","BE-Vie","Mixed forests","Osman et al.",25
"2003-03-12","BE-Vie","Mixed forests","Osman et al.",20
"2003-05-26","BE-Vie","Mixed forests","Osman et al.",385
"2004-07-14","BE-Vie","Mixed forests","Osman et al.",30
"2004-12-01","BE-Vie","Mixed forests","Osman et al.",211
"2005-08-24","BE-Vie","Mixed forests","Osman et al.",25
"2006-04-06","BE-Vie","Mixed forests","Osman et al.",75
